,Unnamed: 0,name,lng,lat,geometry,x,y
197,198,庆阳,107.649305,35.716096,POINT (11983465.816849798 4261626.609772592),11983465.816849798,4261626.609772592
198,199,呼伦贝尔,119.77221,49.217977,POINT (13332981.428385027 6311928.791449962),13332981.428385027,6311928.791449962
199,200,六盘水,104.836786,26.599086,POINT (11670377.633923393 3073471.514833766),11670377.633923393,3073471.514833766
200,201,新余,114.923664,27.823541,POINT (12793243.756577266 3226744.507629155),12793243.756577266,3226744.507629155
201,202,七台河,131.009618,45.776512,POINT (14583923.964781286 5744607.157071278),14583923.964781286,5744607.157071278
202,203,商丘,115.662798,34.420378,POINT (12875523.777085261 4085389.165676218),12875523.777085261,4085389.165676218
203,204,漯河,114.02323,33.587703,POINT (12693007.902204314 3973574.0587569303),12693007.902204314,3973574.0587569303
204,205,乌兰察布,113.140223,40.999972,POINT (12594712.01259742 5012337.533854785),12594712.01259742,5012337.533854785
205,206,潜江,112.905773,30.407633,POINT (12568613.157980936 3556055.6180892307),12568613.157980936,3556055.6180892307
206,207,定西,104.631662,35.587354,POINT (11647543.334693912 4243989.466537988),11647543.334693912,4243989.466537988
207,208,鸡西,130.976161,45.300906,POINT (14580199.548577815 5669018.026698145),14580199.548577815,5669018.026698145
208,209,汕尾,115.381693,22.791322,POINT (12844231.311625818 2606801.99503639),12844231.311625818,2606801.99503639
209,210,四平,124.356844,43.172447,POINT (13843340.550738556 5338256.982370817),13843340.550738556,5338256.982370817
210,211,西双版纳傣族自治州,100.803836,22.013792,POINT (11221431.69352866 2513181.209643169),11221431.69352866,2513181.209643169
211,212,遂宁,105.599152,30.539156,POINT (11755243.828841496 3573043.293843024),11755243.828841496,3573043.293843024
212,213,商洛,109.94688,33.876525,POINT (12239230.695909154 4012234.376002603),12239230.695909154,4012234.376002603
213,214,海南藏族自治州,100.626831,36.292132,POINT (11201727.587060796 4340893.096748421),11201727.587060796,4340893.096748421
214,215,文山壮族苗族自治州,104.221606,23.404187,POINT (11601896.109577185 2680971.9541973164),11601896.109577185,2680971.9541973164
215,216,六安,116.529651,31.741226,POINT (12972021.411637882 3729390.245714894),12972021.411637882,3729390.245714894
216,217,张家界,110.484925,29.122477,POINT (12299125.591333022 3391243.867322745),12299125.591333022,3391243.867322745
217,218,潮州,116.62943,23.662923,POINT (12983128.759109745 2712387.2731594346),12983128.759109745,2712387.2731594346
218,219,蚌埠,117.395835,32.921498,POINT (13068444.573451165 3884888.7654673196),13068444.573451165,3884888.7654673196
219,220,桂林,110.296442,25.279893,POINT (12278143.759749832 2910162.5256745336),12278143.759749832,2910162.5256745336
220,221,甘南藏族自治州,102.917605,34.98901,POINT (11456735.382263266 4162387.747238971),11456735.382263266,4162387.747238971
221,222,驻马店,114.029465,33.017546,POINT (12693701.979229411 3897633.133076992),12693701.979229411,3897633.133076992
222,223,林芝地区,94.368109,29.654792,POINT (10505009.841004137 3459253.3052277),10505009.841004137,3459253.3052277
223,224,百色,106.624969,23.907845,POINT (11869437.25492858 2742182.6354678664),11869437.25492858,2742182.6354678664
224,225,鞍山,123.000974,41.114122,POINT (13692405.79275668 5029189.233509273),13692405.79275668,5029189.233509273
225,226,郴州,113.021311,25.776711,POINT (12581474.789308209 2971451.824714259),12581474.789308209,2971451.824714259
226,227,巴中,106.753912,31.872851,POINT (11883791.124029936 3746631.8928388692),11883791.124029936,3746631.8928388692
227,228,恩施土家族苗族自治州,109.494763,30.277908,POINT (12188901.261690173 3539322.578173914),12188901.261690173,3539322.578173914
228,229,十堰,110.80454,32.635042,POINT (12334704.970382914 3846961.482997458),12334704.970382914,3846961.482997458
229,230,临沧,100.10566,23.914336,POINT (11143711.096724574 2742973.0469393795),11143711.096724574,2742973.0469393795
230,231,泸州,105.449092,28.877577,POINT (11738539.226053057 3360073.538435645),11738539.226053057,3360073.538435645
231,232,平凉,106.671741,35.549266,POINT (11874643.890151963 4238777.001464316),11874643.890151963,4238777.001464316
232,233,宣城,118.765196,30.946576,POINT (13220881.14268333 3625812.961856892),13220881.14268333,3625812.961856892
233,234,绵阳,104.686164,31.473364,POINT (11653610.469581129 3694378.2670766055),11653610.469581129,3694378.2670766055
234,235,佳木斯,130.32696,46.806581,POINT (14507930.823835336 5910560.116360812),14507930.823835336,5910560.116360812
235,236,遵义,106.933658,27.731749,POINT (11903800.357222065 3215195.378860848),11903800.357222065,3215195.378860848
236,237,钦州,108.66089,21.985392,POINT (12096074.94394391 2509771.460357433),12096074.94394391,2509771.460357433
237,238,玉树藏族自治州,97.01308,33.011061,POINT (10799446.665887112 3896772.2181918756),10799446.665887112,3896772.2181918756
238,239,本溪,123.773468,41.299847,POINT (13778399.431477541 5056670.137825985),13778399.431477541,5056670.137825985
239,240,朔州,112.438184,39.33789,POINT (12516561.388600402 4770187.634889228),12516561.388600402,4770187.634889228
240,241,毕节,105.333323,27.408562,POINT (11725651.87992341 3174609.561596926),11725651.87992341,3174609.561596926
241,242,张掖,100.456221,38.932187,POINT (11182735.368736556 4711962.591860353),11182735.368736556,4711962.591860353
